Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Cauldron@enemy,Do [sword]1 damage[;]|get a new dice,1,attack(1); givedice();,Random Roll,NORMAL,,PURPLE,change_power,change_power,,,,,,excludefromrandomlists,1,,,,,,,,,,,givedice();
Cauldron@enemy_upgraded,Do [sword]1 damage[;] reroll dice|[gray](Reuseable),1,attack(1); givedice();,Random Roll,NORMAL,,PURPLE,,,,,2,,,excludefromrandomlists,,,,,,,,,,,,givedice();
Cauldron@enemy_downgraded,Do [sword]1 damage,1,attack(1);,Random Roll,NORMAL,,PURPLE,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Blood Suck@enemy,Drain [heart]<d6> health,2,drain(d);,Blood Sip,MAX4,,RED,simplify,decreaserange,,,,,,excludefromrandomlists,,,,,,,,,,,,
Lament@enemy,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,2,attack(d); if(d == 6) { inflict(ICE| 1); sfx(~_ice~|~~|0.2); } sfxdamage(target|d);,Arctic Storm,NORMAL,,BRIGHTCYAN,change_power,change_power,,,,,,excludefromrandomlists,,,,,,,,,,,,
Lament@enemy_upgraded,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,2,attack(d); if(d == 7) { inflict(ICE| 1); sfx(~_ice~|~~|0.2); } sfxdamage(target|d);,Arctic Storm,NORMAL|FREE1,,BRIGHTCYAN,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Lament@enemy_downgraded,Do [sword]<d6> damage,2,attack(d);,Arctic Storm,NORMAL,,BRIGHTCYAN,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Hall of Mirrors@enemy,[]+1 dice this fight,1,if(simulation) { bonus(1000); } else{ self.extradice++; },Focus,REQUIRE6,,PURPLE,simplify,doublerequirements,,,,YES,,excludefromrandomlists,1,,,,,,,,,,,
Crash,Do [ice]2 damage|+ [ice]1 damage per [ice]Freeze.,2,attack(getstatus(ICE) + 2| ICE); sfx(~_ice~);,,MAX4,,BRIGHTCYAN,change_power,change_power,,_ice,,,,,,,,,,,,,,,,
Crash_upgraded,Do [ice]2 damage|+ [ice]1 damage per [ice]Freeze.|Return the dice.,2,attack(getstatus(ICE) + 2| ICE); givedice(d); sfx(~_ice~);,,MAX4,,BRIGHTCYAN,,,,_ice,,,,,,,,,,,,,,,,
Crash_downgraded,Do [ice]2 damage|+ [ice]1 damage per [ice]Freeze.,2,attack(getstatus(ICE) + 2| ICE); sfx(~_ice~);,,MAX2,,BRIGHTCYAN,,,,_ice,,,,,,,,,,,,,,,,
Boo,Do [sword]2 damage[;]|inflict [haunted]Haunt,2,attack(2); inflict(~haunted~); sfx(~_damage~);,,NORMAL,,PINK,change_power,change_power,,,,,,,,,,,,,,,,,,
Boo_upgraded,Do [sword]3 damage[;]|inflict [haunted]Haunt,2,attack(3); inflict(~haunted~); sfx(~_damage~);,,NORMAL,,PINK,,,,,,,,,,,,,,,,,,,,
Boo_downgraded,Do [sword]1 damage[;]|inflict [haunted]Haunt,2,attack(1); inflict(~haunted~); sfx(~_damage~);,,NORMAL,,PINK,,,,,,,,,,,,,,,,,,,,
Trick,Do [sword]3 damage[;]|snap 3 at once to inflict|[recycle]Swap [green]Next [green]Target,2,attack(3); sfx(~_damage~);,,MAX4,,ORANGE,change_power,change_power,,,,,,,,,,,,,,,,if(snap >= 3) inflict(~reversenexttarget~);,,
Trick_upgraded,Do [sword]4 damage[;]|snap 3 at once to inflict|[recycle]Swap [green]Next [green]Target,2,attack(4); sfx(~_damage~);,,MAX4,,ORANGE,,,,,,,,,,,,,,,,,,if(snap >= 3) inflict(~reversenexttarget~);,,
Trick_downgraded,Do [sword]2 damage[;]|snap 3 at once to inflict|[recycle]Swap [green]Next [green]Target,2,attack(2); sfx(~_damage~);,,MAX4,,ORANGE,,,,,,,,,,,,,,,,,,if(snap >= 3) inflict(~reversenexttarget~);,,
Treat,Heal [heal]2. If above max hp[;]|gain [fury]Spooky [red]Fury[]|up to twice per turn.,2,if(self.maxhp - self.hp < 2 && e.getvar(~treat~) < 2) { e.setvar(~treat~ | e.getvar(~treat~) + 1); inflictself(~spookyfury~); } attackself(-2); sfx(~_heal~);,,NORMAL,,GREEN,change_power,change_power,,,,YES,,,,,,,e.setvar(~treat~ | 0);,,,,,if(getstatusself(~spookyfury~) > 2){ removestatusself(~spookyfury~ | getstatusself(~spookyfury~) - 2); },e.preventdefault = true; e.maintainfury = true;,
Treat_upgraded,Heal [heal]3. If above max hp[;]|gain [fury]Spooky [red]Fury[]|up to twice per turn.,2,if(self.maxhp - self.hp < 3 && e.getvar(~treat~) < 2) { e.setvar(~treat~ | e.getvar(~treat~) + 1); inflictself(~spookyfury~); } attackself(-3); sfx(~_heal~);,,NORMAL,,GREEN,,,,,,YES,,,,,,,e.setvar(~treat~ | 0);,,,,,if(getstatusself(~spookyfury~) > 2){ removestatusself(~spookyfury~ | getstatusself(~spookyfury~) - 2); },e.preventdefault = true; e.maintainfury = true;,
Treat_downgraded,Heal [heal]2. If above max hp[;]|gain [fury]Spooky [red]Fury[]|up to once per turn.,2,if(self.maxhp - self.hp < 2 && e.getvar(~treat~) < 1) { e.setvar(~treat~ | e.getvar(~treat~) + 2); inflictself(~spookyfury~); } attackself(-2); sfx(~_heal~);,,NORMAL,,GREEN,,,,,,YES,,,,,,,e.setvar(~treat~ | 0);,,,,,if(getstatusself(~spookyfury~) > 1){ removestatusself(~spookyfury~ | getstatusself(~spookyfury~) - 1); },e.preventdefault = true; e.maintainfury = true;,
2 Spooky 4 U,Hex the enemy[;] worsening Haunt|[gray](once per battle),2,inflict(possess);,,MAX2|MIN4|RANGE24,,PURPLE,change_power,change_power,,_curse,,,YES,finale,,,,,,,,,,,,
2 Spooky 4 U_upgraded,Hex the enemy[;] worsening Haunt|[gray](once per battle),2,inflict(possess);,,MAX2|MIN4,,PURPLE,,,,_curse,,,YES,finale,,,,,,,,,,,,
2 Spooky 4 U_downgraded,Hex the enemy[;] worsening Haunt|[gray](once per battle),2,inflict(possess);,,MAX2|RANGE24|RANGE24|MIN4,,PURPLE,,,,_curse,,,YES,finale,,,,,,,,,,,,
Spooky Deck,4 Boos[;] 3 Tricks|and 2 Treats|Finale Card: 2 Spooky 4 U,1,,,,,PURPLE,,,,,,,,excludefromrandomlists,,,,,addjestercard(~boo~); addjestercard(~boo~); addjestercard(~boo~); addjestercard(~boo~); addjestercard(~trick~); addjestercard(~trick~); addjestercard(~trick~); addjestercard(~treat~); addjestercard(~treat~); addjestercard(~2 spooky 4 u~); sfx(~jester_delete~); Deck.getcard(0).delete();,,,,,,,
Jack o' Lantern,Inflict [haunted]Haunt[;] [fire]Burn|and gain 2x<slotdoubles> next turn.|Hey[;] that rhymed!,2,inflict(~haunted~); inflict(FIRE); inflictself(~stash~ + d); inflictself(~stash~ + d); inflictself(~lantern~); sfx(~_curse~);,,DOUBLES|DOUBLES,,PURPLE,change_power,change_power,,_curse,,,,,,,,,,,,,,,,
Jack o' Lantern_upgraded,Inflict 2 [haunted]Haunt[;] 2 [fire]Burn|and gain 2x<slotdoubles> next turn.|Hey[;] that rhymed!,2,inflict(~haunted~ | 2); inflict(FIRE | 2); inflictself(~stash~ + d); inflictself(~stash~ + d); inflictself(~lantern~); sfx(~_curse~);,,DOUBLES|DOUBLES,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Jack o' Lantern_downgraded,Gain 2x<slotdoubles> next turn.|Nothing to rhyme with...,2,inflictself(~stash~ + d); inflictself(~stash~ + d); inflictself(~lantern~); sfx(~_curse~);,,DOUBLES|DOUBLES,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Boolin Key,Set two random dice|to <d6>[;] inflict [haunted]Haunt,2,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d| self.screenposition()); } if(dicelist.length > 1) { dicelist[1].animatereroll(d| self.screenposition()); } inflict(~haunted~); sfx(~_curse~);,,NORMAL,,PURPLE,change_power,change_power,,_curse,,YES,,,,,,,,,,,,,,
Boolin Key_upgraded,Set three random dice|to <d6>[;] inflict [haunted]Haunt 2,2,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d| self.screenposition()); } if(dicelist.length > 1) { dicelist[1].animatereroll(d| self.screenposition()); } if(dicelist.length > 2) { dicelist[2].animatereroll(d| self.screenposition()); } inflict(~haunted~ | 2); sfx(~_curse~);,,NORMAL,,PURPLE,,,,_curse,,YES,,,,,,,,,,,,,,
Boolin Key_downgraded,Set two random dice to <d6>,2,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d| self.screenposition()); } if(dicelist.length > 1) { dicelist[1].animatereroll(d| self.screenposition()); sfx(~_curse~);,,NORMAL,,PURPLE,,,,_curse,,YES,,,,,,,,,,,,,,
Sword...?,Deal [sword]<d6> damage...?,2,attack(d); sfx(~_damage~);,,NORMAL,,RED,add1,complicate,,,,,,,,,,,,,,,sfx(~_defect~);,,,
Six Shooter...?,Deal [sword]<d6> damage...?|,2,attack(d); sfx(~_damage~);,,REQUIRE6,,RED,add1,complicate,,,3,,,,,,,,,,,,sfx(~_defectgun~);,,,
Hitodama,Deal [sword]<d6> damage.|On 4[;] inflict [vanish]Vanish.,1,attack(d); if(d == 4) { inflict(~ncr_vanish~); } sfx(~_vanish~);,,MAX4,,PINK,simplify,change_power,,_vanish,,,,,,,,,,,,,,,,
Hitodama_downgraded,Deal [sword]<d6> damage.|On 2[;] inflict [vanish]Vanish.,1,attack(d); if(d == 2) { inflict(~ncr_vanish~); } sfx(~_vanish~);,,MAX2,,PINK,,,,_vanish,,,,,,,,,,,,,,,,
Hitodama_weakened,Deal [sword]<d6> damage.|On 2[;] inflict [vanish]Vanish.,1,attack(d); if(d == 2) { inflict(~ncr_vanish~); } sfx(~_vanish~);,,MAX4,,PINK,,,,_vanish,,,,,,,,,,,,,,,,
Spectral Strike,Deal [sword]<d6> damage.|On 6[;] inflict [haunted]Haunted 2.,2,attack(d); if(d == 6) { inflict(~haunted~ | 2); } sfx(~_curse~);,,NORMAL,,PURPLE,add1,complicate,,_curse,,,,,,,,,,,,,,,,
Banish,Deal [sword]<d6> damage.|On 6[;] inflict [vanish]Vanish.,2,attack(d); if(d == 6) { inflict(~ncr_vanish~); } sfx(~_vanish~);,,NORMAL,,PINK,add1,complicate,,_vanish,,,,,,,,,,,,,,,,
Soul Fade,Inflict [vanish]Vanish equal to|enemy [haunted]Haunt + [curse]Curse,2,inflict(~ncr_vanish~ | getstatus(~haunted~) + getstatus(CURSE)); sfx(~_vanish~);,,COUNTDOWN,8,PURPLE,change_power,donothing,,_vanish,,,,,,,,,,,,,,,,
Soul Fade_upgraded,Inflict [curse]Curse equal to|enemy [haunted]Haunt + [vanish]Vanish,2,inflict(CURSE | getstatus(~haunted~) + getstatus(~ncr_vanish~)); sfx(~_curse~);,,COUNTDOWN,8,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Blurse,Inflict [curse]Curse but give|enemy extra <d6> this turn,1,inflict(CURSE); inflict(~stash~ + d); sfx(~_curse~);,,NORMAL,,WHITE,change_power,complicate,,_curse,,,,,,,,,,,,,,,,
Blurse_upgraded,Inflict [curse]Curse 2 but give|enemy extra <d6> this turn,1,inflict(CURSE | 2); inflict(~stash~ + d); sfx(~_curse~);,,NORMAL,,WHITE,,,,_curse,,,,,,,,,,,,,,,,
Exorcise,Enemy loses all [curse]Curse[;]|[vanish]Vanish and [haunted]Haunt[;] and|takes 2 damage for each,2,attack(2 * (getstatus(CURSE) + getstatus(~haunted~) + getstatus(~ncr_vanish~))); removestatus(CURSE | ALL); removestatus(~haunted~ | ALL); removestatus(~ncr_vanish~ | ALL); sfx(~_cure~);,,COUNTDOWN,12,WHITE,halfcountdown,change_power,,_cure,,,,,,,,,,,,,,,,
Exorcise_downgraded,Enemy loses all [curse]Curse[;]|[vanish]Vanish and [haunted]Haunt[;] and|takes 1 damage for each,2,attack(getstatus(CURSE) + getstatus(~haunted~) + getstatus(~ncr_vanish~)); removestatus(CURSE | ALL); removestatus(~haunted~ | ALL); removestatus(~ncr_vanish~ | ALL); sfx(~_cure~);,,COUNTDOWN,12,WHITE,,,,_cure,,,,,,,,,,,,,,,,
Wispene Gas,Inflict [vanish]Vanish[;]|gain [fury]Spooky [red]Fury[]|and gain a <slotdoubles>,2,givedice(d); inflict(~ncr_vanish~); inflictself(~spookyfury~); sfx(~_vanish~);,,DOUBLES|DOUBLES,,RED,change_power,change_power,,_vanish,,,,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Wispene Gas_upgraded,Inflict [vanish]Vanish[;]|gain [fury]Spooky [red]Fury[]|and return both dice,2,givedice(d); givedice(d); inflict(~ncr_vanish~); inflictself(~spookyfury~); sfx(~_vanish~);,,DOUBLES|DOUBLES,,RED,,,,_vanish,,,,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Wispene Gas_downgraded,Inflict [vanish]Vanish|and gain [fury]Spooky [red]Fury,2,inflict(~ncr_vanish~); inflictself(~spookyfury~); sfx(~_vanish~);,,DOUBLES|DOUBLES,,RED,,,,_vanish,,,,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Pester,Deal [sword]3 damage|On [fury]Fury[;] inflict [haunted]Haunt|(maintains [fury]Fury[]),2,attack(3);,,COUNTDOWN,4,RED,change_power,change_power,,_damage,,,,,,,,,e.setvar(~fury~ | 0);,,,,,,if(getstatusself(~fury~) + getstatusself(~spookyfury~) > 0){ e.setvar(~fury~ | 1); } e.maintainfury = true; if(e.getvar(~fury~) == 1){ inflict(~haunted~); sfx(~_curse~); e.setvar(~fury~ | 0); },
Pester_upgraded,Deal [sword]4 damage|On [fury]Fury[;] inflict [haunted]Haunt|(maintains [fury]Fury[]),2,attack(4);,,COUNTDOWN,4,RED,,,,_damage,,,,,,,,,e.setvar(~fury~ | 0);,,,,,,if(getstatusself(~fury~) + getstatusself(~spookyfury~) > 0){ e.setvar(~fury~ | 1); } e.maintainfury = true; if(e.getvar(~fury~) == 1){ inflict(~haunted~); sfx(~_curse~); e.setvar(~fury~ | 0); },
Pester_downgraded,Deal [sword]2 damage|On [fury]Fury[;] inflict [haunted]Haunt|(maintains [fury]Fury[]),2,attack(2);,,COUNTDOWN,4,RED,,,,_damage,,,,,,,,,e.setvar(~fury~ | 0);,,,,,,if(getstatusself(~fury~) + getstatusself(~spookyfury~) > 0){ e.setvar(~fury~ | 1); } e.maintainfury = true; if(e.getvar(~fury~) == 1){ inflict(~haunted~); sfx(~_curse~); e.setvar(~fury~ | 0); },
Spook,Inflict [haunted]Haunt[;]|return both dice,2,inflict(~haunted~); givedice(d); givedice(d); sfx(~_curse~);,,DOUBLES|DOUBLES,,PURPLE,change_power,change_power,,_curse,,,,,,,,,,,,,,,,
Spook_upgraded,Inflict [haunted]Haunt[;]|return the die,2,inflict(~haunted~); givedice(d); sfx(~_curse~);,,EVEN,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Spook_downgraded,Inflict [haunted]Haunt[;]|gain a <slotdoubles>,2,inflict(~haunted~); givedice(d); sfx(~_curse~);,,DOUBLES|DOUBLES,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Poof,Inflict [vanish]Vanish,1,inflict(~ncr_vanish~); sfx(~_vanish~);,,EVEN,,PINK,change_power,complicate,,_vanish,,,,,,,,,,,,,,,,
Poof_upgraded,Inflict 2 [vanish]Vanish,1,inflict(~ncr_vanish~ | 2); sfx(~_vanish~);,,EVEN,,PINK,,,,_vanish,,,,,,,,,,,,,,,,
Attacktoplasm,Deal [sword]<d6> damage.|On 4[;] inflict [haunted]Haunt.,1,attack(d); if(d == 4) { inflict(~haunted~); } sfx(~_curse~);,,MAX4,,PURPLE,simplify,change_power,,_curse,,,,,,,,,,,,,,,,
Attacktoplasm_downgraded,Deal [sword]<d6> damage.|On 2[;] inflict [haunted]Haunt.,1,attack(d); if(d == 2) { inflict(~haunted~); } sfx(~_curse~);,,MAX2,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Attacktoplasm_weakened,Deal [sword]<d6> damage.|On 2[;] inflict [haunted]Haunt.,1,attack(d); if(d == 2) { inflict(~haunted~); } sfx(~_curse~);,,MAX4,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Chocolate Spookie,Gain [fury]Spooky [red]Fury[],2,inflictself(~spookyfury~); sfx(~_heal~);,,COUNTDOWN,8,ORANGE,halfcountdown,donothing,,_heal,,,,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Spooplicate,Duplicate a dice|Inflict a spooky status,2,inflict(rand([~haunted~|~haunted~|~haunted~|~haunted~|~haunted~|~haunted~|~ncr_vanish~|~ncr_vanish~|~ncr_vanish~|~curse~|~curse~|~reversenexttarget~])); givedice(d); givedice(d); sfx(~_curse~);,,MAX4,,GREEN,simplify,complicate,,_curse,,,,,,,,,,,,,,,,
Grudgenudge,3-6: Decrease value by 2|1-2: Inflict (3-<d6>) [haunted]Haunt,2,givedice(d - 2); inflict(~haunted~ | 3 - d); sfx(~_curse~);,,NORMAL,,PURPLE,change_power,change_power,,_curse,,,,,,,,,,,,,,,,
Grudgenudge_upgraded,4-6: Decrease value by 3|1-3: Inflict (4-<d6>) [haunted]Haunt,2,givedice(d - 3); inflict(~haunted~ | 4 - d); sfx(~_curse~);,,NORMAL,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Grudgenudge_downgraded,3: Gain a 1|1-2: Inflict (3-<d6>) [haunted]Haunt,2,givedice(d - 2); inflict(~haunted~ | 3 - d); sfx(~_curse~);,,MAX3,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Grudgenudge_weakened,Inflict (4-<d6>) [haunted]Haunt,2,inflict(~haunted~ | 4 - d); sfx(~_curse~);,,MAX3,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Bump in the Night,1-4: Increase value by 2|5-6: Inflict (<d6>-4)|[haunted]Haunt[;] gain a 6,2,if(d > 4){ givedice(6); } else{ givedice(d + 2); } inflict(~haunted~ | d - 4); sfx(~_curse~);,,NORMAL,,PURPLE,change_power,change_power,,_curse,,,,,,,,,,,,,,,,
Bump in the Night_upgraded,1-3: Increase value by 3|4-6: Inflict (<d6>-3)|[haunted]Haunt[;] gain a 6,2,if(d > 3){ givedice(6); } else{ givedice(d + 3); } inflict(~haunted~ | d - 3); sfx(~_curse~);,,NORMAL,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Bump in the Night_downgraded,Gain a 6[;]|on 5-6[;] inflict (<d6>-4)|[haunted]Haunt,2,if(d > 4){ givedice(6); } else{ givedice(d + 2); } inflict(~haunted~ | d - 4); sfx(~_curse~);,,MIN4,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Bump in the Night_weakened,Inflict (<d6>-3)|[haunted]Haunt[;] gain a 6,2,if(d > 3){ givedice(6); } else{ givedice(d + 3); } inflict(~haunted~ | d - 3); sfx(~_curse~);,,MIN4,,PURPLE,,,,_curse,,,,,,,,,,,,,,,,
Shadow Ball,Deal [sword]<d6> damage.|On 4[;] inflict [curse]Curse.,1,attack(d); if(d == 4) { inflict(CURSE); } sfx(~_curse~);,,MAX4,,WHITE,simplify,change_power,,_curse,,,,,,,,,,,,,,,,
Shadow Ball_downgraded,Deal [sword]<d6> damage.|On 2[;] inflict [curse]Curse.,1,attack(d); if(d == 2) { inflict(CURSE); } sfx(~_curse~);,,MAX2,,WHITE,,,,_curse,,,,,,,,,,,,,,,,
Shadow Ball_weakened,Deal [sword]<d6> damage.|On 2[;] inflict [curse]Curse.,1,attack(d); if(d == 2) { inflict(CURSE); } sfx(~_curse~);,,MAX4,,WHITE,,,,_curse,,,,,,,,,,,,,,,,
Apparition,Inflict [haunted]Haunt[;] [curse]Curse and [vanish]Vanish,2,inflict(~haunted~); inflict(~ncr_vanish~); inflict(CURSE); sfx(~_curse~);,,COUNTDOWN,10,WHITE,change_power,change_power,,_curse,,,,,,,,,,,,,,,,
Apparition_upgraded,Inflict [haunted]Haunt[;] [curse]Curse and [vanish]Vanish[;],2,inflict(~haunted~); inflict(~ncr_vanish~); inflict(CURSE); sfx(~_curse~);,,COUNTDOWN,6,WHITE,,,,_curse,,,,,,,,,,,,,,,,
Apparition_downgraded,Inflict [haunted]Haunt[;] [curse]Curse or [vanish]Vanish,2,inflict(rand([~haunted~|~curse~|~ncr_vanish~])); sfx(~_curse~);,,COUNTDOWN,10,WHITE,,,,_curse,,,,,,,,,,,,,,,,
Bandage Whip,Do [sword]5 damage[;]|inflict [confuse]Confuse,2,attack(5); inflict(CONFUSE);,Stardust,COUNTDOWN,12,YELLOW,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Bandage Whip_upgraded,Do [sword]8 damage[;]|inflict [confuse]Confuse,2,attack(8); inflict(CONFUSE);,Stardust,COUNTDOWN,12,YELLOW,,,,,0,NO,NO,,,,,,,,,,,,,
Bandage Whip_downgraded,Inflict [confuse]Confuse,2,inflict(CONFUSE);,Stardust,COUNTDOWN,12,YELLOW,,,,,0,NO,NO,,,,,,,,,,,,,
Spooky Noises,Drain 1 health and|haunt [haunted]1 dice,1,drain(1); inflict(HAUNTED);,Night Terrors,ODD,,PURPLE,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Spooky Noises_upgraded,Drain 1 health and|haunt [haunted]2 dice,1,drain(1); inflict(HAUNTED|2);,Night Terrors,ODD,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Spooky Noises_downgraded,Haunt [haunted]1 dice,1,inflict(HAUNTED);,Night Terrors,ODD,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Fade,Do [sword]<d6> damage[;]|Inflict [vanish]Vanish,1,attack(d); inflict(VANISH);,,REQUIRE1,,PINK,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Fade_upgraded,Do [sword]<d6> damage[;]|Inflict [vanish]Vanish,1,attack(d); inflict(VANISH);,,REQUIRE1|FREE2,,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Fade_downgraded,Inflict [vanish]Vanish,1,inflict(VANISH);,,REQUIRE1,,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Jab,Do [sword]<d6> damage[;]|Gain [thorns]2 thorns,1,attack(d); inflictself(THORNS| 2);,,REQUIRE2,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Jab_upgraded,Do [sword]<d6> damage[;]|Gain [thorns]2 thorns,1,attack(d); inflictself(THORNS| 2);,,REQUIRE2|FREE2,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Jab_downgraded,Gain [thorns]2 thorns,1,inflictself(THORNS| 2);,,REQUIRE2,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,
Echo,Do [weaken]<d6> damage[;]|Inflict [weaken]3 weaken,1,attack(d|WEAKEN); inflict(WEAKEN| 3);,,REQUIRE3,,ORANGE,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Echo_upgraded,Do [weaken]<d6> damage[;]|Inflict [weaken]3 weaken,1,attack(d|WEAKEN); inflict(WEAKEN| 3);,,REQUIRE3|FREE2,,ORANGE,,,,,0,NO,NO,,,,,,,,,,,,,
Echo_downgraded,Inflict [weaken]3 weaken,1,inflict(WEAKEN| 3);,,REQUIRE3,,ORANGE,,,,,0,NO,NO,,,,,,,,,,,,,
Muddle,Do [sword]<d6> damage[;]|Inflict [confuse]Confuse,1,attack(d); inflict(CONFUSE);,,REQUIRE4,,YELLOW,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Muddle_upgraded,Do [sword]<d6> damage[;]|Inflict [confuse]Confuse,1,attack(d); inflict(CONFUSE);,,REQUIRE4|FREE2,,YELLOW,,,,,0,NO,NO,,,,,,,,,,,,,
Muddle_downgraded,Inflict [confuse]Confuse,1,inflict(CONFUSE);,,REQUIRE4,,YELLOW,,,,,0,NO,NO,,,,,,,,,,,,,
Mute,Do [sword]<d6> damage[;]|Inflict [silence]Silence,1,attack(d); inflict(SILENCE);,,REQUIRE5,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Mute_upgraded,Do [sword]<d6> damage[;]|Inflict [silence]Silence,1,attack(d); inflict(SILENCE);,,REQUIRE5|FREE2,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Mute_downgraded,Inflict [silence]Silence,1,inflict(SILENCE);,,REQUIRE5,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Haunt,Do [sword]<d6> damage[;]|Haunt [haunted]3 dice,1,attack(d); inflict(HAUNTED|3);,,REQUIRE6,,PURPLE,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Haunt_upgraded,Do [sword]<d6> damage[;]|Haunt [haunted]3 dice,1,attack(d); inflict(HAUNTED|3);,,REQUIRE6|FREE2,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Haunt_downgraded,Haunt [haunted]3 dice,1,inflict(HAUNTED|3);,,REQUIRE6,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Poison Jab,Deal [sword]<d6> damage.|On 4[;] inflict [poison]Poison.,1,attack(d); if(d == 4) { inflict(POISON); } sfx(~_poison~);,,MAX4,,PURPLE,simplify,change_power,,_poison,,,,,,,,,,,,,,,,
Poison Jab_downgraded,Deal [sword]<d6> damage.|On 2[;] inflict [poison]Poison.,1,attack(d); if(d == 2) { inflict(POISON); } sfx(~_poison~);,,MAX2,,PURPLE,,,,_poison,,,,,,,,,,,,,,,,
Poison Jab_weakened,Deal [sword]<d6> damage.|On 2[;] inflict [poison]Poison.,1,attack(d); if(d == 2) { inflict(POISON); } sfx(~_poison~);,,MAX4,,PURPLE,,,,_poison,,,,,,,,,,,,,,,,
